day,DO.obs,SpCond,turbidity,pH,tempwater,Q.cfs
2006-06-02,6.546285714285714,300.65714285714284,40.72857142857143,8.105428571428572,26.053428571428572,NA
2006-06-03,6.7908333333333335,286.0833333333333,40.05833333333333,8.094687500000001,24.673020833333332,NA
2006-06-04,6.8596875,275.6979166666667,44.16770833333333,8.124270833333334,24.848854166666666,NA
2006-06-05,6.831354166666666,274.3854166666667,44.364583333333336,8.1225,25.218229166666667,NA
2006-06-06,6.8871875,274.1145833333333,46.15,NA,24.026666666666667,NA
2006-06-07,7.2448958333333335,265.5625,49.298947368421054,NA,21.986041666666665,NA
2006-06-08,7.2815625,261.4375,62.161458333333336,NA,22.293333333333333,NA
2006-06-09,7.232291666666667,258.9479166666667,563.3258426966293,NA,22.764583333333334,NA
2006-06-10,7.13103448275862,259.0344827586207,799.1428571428571,NA,21.29241379310345,NA
2006-06-20,5.765106382978724,328.3191489361702,36.05957446808511,8.205744680851064,25.612340425531915,NA
2006-06-21,5.778928571428572,329.0357142857143,32.11785714285714,8.0925,21.902857142857144,NA
2006-07-14,5.977826086956521,379.60869565217394,148.40869565217392,8.034347826086956,26.498695652173915,NA
2006-07-15,6.1140625,364.6354166666667,151.025,8.071666666666667,26.6375,NA
2006-07-16,5.9826041666666665,364.59375,153.12708333333333,8.083333333333334,27.690625,NA
2006-07-17,5.903333333333333,362.2291666666667,145.20416666666668,8.084895833333333,28.16,NA
2006-07-18,5.9425,370.3645833333333,118.30625,8.068645833333333,27.2846875,NA
2006-07-19,5.8090625,357.9166666666667,157.33541666666667,7.9859374999999995,27.781875,NA
2006-07-20,5.765,377.25,294.3625,8.0096875,28.274375,NA
2006-07-21,5.995625,400.15625,371.1063829787234,8.060208333333334,27.288645833333334,NA
2006-07-22,6.153229166666667,388.6666666666667,553.0774193548388,8.033958333333333,26.891979166666665,NA
2006-07-23,5.679583333333333,346.2604166666667,423.1044444444444,7.8940625,26.6265625,NA
2006-07-24,5.36625,353.6979166666667,140.26354166666667,7.808333333333334,26.8453125,NA
2006-07-25,5.535714285714286,370.57142857142856,262.57142857142856,7.861428571428571,25.677142857142858,NA
2006-08-03,5.992156862745098,485,866.7333333333333,8.11,26.917058823529413,NA
2006-08-04,6.3618840579710145,416.2028985507246,607.51,8.180289855072465,24.2168115942029,NA
2006-08-31,6.054468085106383,372.2340425531915,259.5851063829787,8.116170212765958,27.189148936170213,NA
2006-09-01,6.2596875,362.3541666666667,220.94375,8.0909375,25.126458333333332,NA
2006-09-02,6.453229166666667,309.7395833333333,551.2391304347826,8.034166666666668,22.316875,NA
2006-09-03,7.031770833333334,337.1979166666667,201.190625,8.114479166666667,20.344895833333332,NA
2006-09-04,6.8996875,345.96875,173.66145833333334,8.147395833333333,22.262083333333333,NA
2006-09-05,6.7472916666666665,360.9166666666667,180.60729166666667,8.171458333333334,23.4875,NA
2006-09-06,6.826770833333334,344.59375,212.55104166666666,8.216875,23.078958333333333,NA
2006-09-07,6.9790625,315.9270833333333,573.5906976744186,8.173333333333334,21.326041666666665,NA
2006-09-08,6.952604166666667,296.28125,1046.0663043478262,8.113958333333333,20.069583333333334,NA
2006-09-09,6.608854166666666,273.9791666666667,1046.3705263157894,8.064583333333333,20.855625,NA
2006-09-10,6.753541666666667,369.53125,1025.3979166666666,8.073854166666667,21.953020833333333,NA
2006-09-11,6.662083333333333,437.84375,1058.3541666666665,8.118125000000001,23.011458333333334,NA
2006-09-12,6.772857142857143,427.3626373626374,364.74782608695654,8.146373626373627,22.923076923076923,NA
2006-09-13,6.595416666666667,NA,341.78125,8.150625,22.998645833333335,NA
2006-09-14,6.6328125,NA,1045.2212765957447,8.133958333333334,21.905104166666668,NA
2006-09-15,6.7143749999999995,NA,382.00113636363636,8.145624999999999,21.608333333333334,NA
2006-09-16,6.8663541666666665,NA,237.83958333333334,8.160520833333333,20.809895833333332,NA
2006-09-17,7.256666666666667,NA,258.22291666666666,8.1646875,18.646354166666665,NA
2006-09-18,7.499375,NA,433.3380434782609,8.160208333333333,17.717604166666668,NA
2006-09-19,7.381458333333334,NA,255.78854166666667,8.149479166666667,18.414270833333333,NA
2006-09-20,7.29,NA,238.084375,8.195208333333333,18.41375,NA
2006-09-21,7.380833333333333,NA,569.8956043956044,8.127083333333333,16.76739583333333,NA
2006-09-22,7.791354166666666,NA,1006.7287356321839,8.142916666666666,14.760208333333333,NA
2006-09-23,8.006666666666666,NA,410.9127659574468,8.182916666666667,15.203125,NA
2006-09-24,7.534479166666666,NA,308.63936170212764,8.209270833333333,17.721875,NA
2006-09-25,7.376875,NA,293.6879120879121,8.204166666666667,18.56072916666667,NA
2006-09-26,7.090240963855422,347.74418604651163,242.72048192771084,8.16265060240964,19.71277108433735,NA
2006-09-27,7.151770833333333,325.5729166666667,250.37978723404257,8.172916666666667,19.588333333333335,NA
2006-09-28,7.301041666666666,319.25,209.25,8.1796875,18.979166666666668,NA
2006-09-29,7.2863541666666665,322.0104166666667,177.703125,8.153854166666667,19.0096875,NA
2006-09-30,7.3759375,326.5520833333333,160.83020833333333,8.149895833333334,18.698958333333334,NA
2006-10-01,7.391875,329.6041666666667,153.43958333333333,8.157395833333334,18.6734375,NA
2006-10-02,7.405,332.78125,142.39270833333333,8.1496875,18.925729166666667,NA
2006-10-03,7.309166666666667,343.5833333333333,118.396875,8.139375,19.6696875,NA
2006-10-04,7.284375,363.2708333333333,99.75,8.156875,19.9775,NA
2006-10-05,7.186144578313253,377.32530120481925,97.49277108433735,8.152409638554216,20.846746987951807,NA
