day,DO.obs,SpCond,turbidity,turbidity.capped,pH,tempwater
2010-01-01,11.964895833333333,365.4791666666667,56.41875,56.41875,7.9996875,2.499375
2010-01-02,11.792604166666667,373.7395833333333,47.81086956521739,47.81086956521739,8.010520833333333,2.89375
2010-01-03,11.813229166666666,388.1354166666667,69.43296703296703,69.43296703296703,8.0053125,2.857291666666667
2010-01-04,12.144029850746268,391.46268656716416,61.29824561403509,61.29824561403509,7.9974626865671645,2.0491044776119405
2010-01-07,12.735588235294118,247.52941176470588,66.79411764705883,66.79411764705883,8.396764705882353,3.57
2010-01-08,13.896145833333334,236.29166666666666,42.05416666666667,42.05416666666667,8.4225,1.4871874999999999
2010-01-09,14.336666666666666,229.27083333333334,28.417708333333334,28.417708333333334,8.407083333333334,1.4029166666666666
2010-01-10,14.302708333333333,237.125,28.554166666666667,28.554166666666667,8.430104166666666,2.0441666666666665
2010-01-11,14.078958333333333,243.30208333333334,30.253125,30.253125,8.435520833333333,3.0522916666666666
2010-01-12,14.151875,248.9375,44.57604166666667,44.57604166666667,8.456354166666667,3.270729166666667
2010-01-13,14.312916666666666,221.92708333333334,58.03333333333333,58.03333333333333,8.462083333333334,3.0425
2010-01-14,13.799375,241.48958333333334,47.2125,47.2125,8.4721875,4.564375
2010-01-15,13.810208333333334,245.34375,37.790625,37.790625,8.475520833333333,5.0059375
2010-01-16,14.1275,243,50.98229166666667,50.98229166666667,8.5071875,4.5171875
2010-01-17,14.225,240.79166666666666,49.17578947368421,49.17578947368421,8.4903125,4.521979166666666
2010-01-18,14.554270833333334,241.40625,45.434375,45.434375,8.511145833333334,3.9976041666666666
2010-01-19,13.878020833333334,209.84375,75.62291666666667,75.62291666666667,8.479375,5.3308333333333335
2010-01-20,13.873958333333333,226.97916666666666,82.92608695652174,82.92608695652174,8.480833333333333,5.228541666666667
2010-01-21,14.709895833333333,269.2604166666667,64.03958333333333,64.03958333333333,8.529270833333333,3.8369791666666666
2010-01-22,14.1328125,216.61458333333334,116.3691489361702,116.3691489361702,8.505416666666667,4.826458333333333
2010-01-23,14.605744680851064,176.17021276595744,102.19787234042553,102.19787234042553,8.446170212765958,3.4068085106382977
2010-01-30,9.375714285714286,305.2857142857143,50.180952380952384,50.180952380952384,8.168379680095239,6.272380952380952
2010-01-31,10.006041666666667,307.2291666666667,44.81263157894737,44.81263157894737,8.145007951645834,5.0090625
2010-02-01,10.0503125,309.09375,44.744791666666664,44.744791666666664,8.14692907125,5.74625
2010-02-02,10.399166666666666,309.84375,46.35625,46.35625,8.155829357510417,5.305729166666667
2010-02-03,10.861354166666667,298.4895833333333,46.090625,46.090625,8.1429588104375,3.8163541666666667
2010-02-04,10.993229166666667,284.3125,40.48645833333333,40.48645833333333,8.09915076334375,4.337604166666667
2010-02-05,10.876666666666667,294.6875,52.64375,52.64375,8.106176049625,5.202083333333333
2010-02-06,10.625416666666666,296.3333333333333,48.61770833333333,48.61770833333333,8.124868002552084,6.289583333333334
2010-02-07,10.70125,310.0625,74.5125,74.5125,8.145226622135416,5.8384375
2010-02-08,11.1103125,300.6354166666667,97.3875,97.3875,8.09589774171875,5.1128124999999995
2010-02-09,10.970729166666667,304.28125,87.52395833333333,87.52395833333333,8.121985528,6.259895833333333
2010-02-10,11.066458333333333,292.7083333333333,71.58631578947369,71.58631578947369,8.137864980916667,6.079583333333334
2010-02-11,11.27,292.4166666666667,52.7375,52.7375,8.14468193384375,5.6790625
2010-02-12,11.4765625,287.5729166666667,46.766666666666666,46.766666666666666,8.141811386760416,5.673333333333334
2010-02-13,11.36125,278.8645833333333,40.342708333333334,40.342708333333334,8.13196167303125,6.228125
2010-02-14,11.354895833333334,272.7083333333333,41.23684210526316,41.23684210526316,8.117320292625,6.448958333333334
2010-02-15,11.764375,271.375,40.77684210526316,40.77684210526316,8.114970578874999,5.5825000000000005
2010-02-16,11.504791666666666,271.3958333333333,39.46666666666667,39.46666666666667,8.106370865135416,6.605
2010-02-17,11.540625,271.3958333333333,33.15833333333333,33.15833333333333,8.093500318072916,6.7472916666666665
2010-02-18,11.310729166666667,280.1354166666667,31.266666666666666,31.266666666666666,8.099379771,7.365729166666666
2010-02-19,11.225625,283.5729166666667,37.94021739130435,37.94021739130435,8.103905057239583,7.705416666666666
2010-02-20,11.407604166666667,268.4479166666667,39.278125,39.278125,8.07801367684375,7.16875
2010-02-21,11.045531914893617,270.3191489361702,34.95,34.95,8.082968675885057,6.777234042553191
2010-02-22,10.416770833333333,277.65625,37.36770833333333,37.36770833333333,8.090908856010417,5.692916666666667
2010-02-23,11.025104166666667,278.3958333333333,40.376041666666666,40.376041666666666,8.070999881885417,5.236979166666667
2010-02-24,11.224583333333333,279.8229166666667,41.04042553191489,41.04042553191489,8.06494507440625,5.370416666666666
2010-02-25,10.844583333333333,269.1979166666667,37.28125,37.28125,8.067952766947917,6.5207291666666665
2010-02-26,11.135520833333333,268.4895833333333,43.463736263736266,43.463736263736266,8.07283545946875,6.6710416666666665
2010-02-27,11.176041666666666,273.96875,41.910526315789475,41.910526315789475,8.07480148534375,6.547083333333333
2010-02-28,11.193854166666666,269.6354166666667,38.98314606741573,38.98314606741573,8.07989251121875,6.569895833333334
2010-03-01,10.923854166666667,270.78125,62.34939759036145,62.34939759036145,8.084879370427084,8.287916666666666
2010-03-02,10.9859375,273.8125,49.8378947368421,49.8378947368421,8.08507456296875,8.508333333333333
2010-03-03,10.697083333333333,277.2395833333333,68.471875,68.471875,8.0737072555,9.547916666666667
2010-03-04,10.619375,274.1354166666667,48.005063291139244,48.005063291139244,8.088798281364584,9.921875
2010-03-05,10.768958333333334,271.34375,50.98351648351648,50.98351648351648,8.106389307239583,9.88375
2010-03-06,11.203125,265.7916666666667,81.03010752688172,81.03010752688172,8.095751166427084,8.895104166666666
2010-03-07,11.0790625,264.6458333333333,45.10421052631579,45.10421052631579,8.10282135896875,9.325520833333334
2010-03-08,9.544130434782609,246.97826086956522,103.6775,103.6775,8.031230933967391,9.05304347826087
2010-03-09,8.760833333333334,265.8020833333333,59.954255319148935,59.954255319148935,8.080416666666666,9.088645833333333
2010-03-10,9.431875,266.34375,52.37916666666667,52.37916666666667,8.128854166666667,7.1375
2010-03-11,9.692604166666667,260.4270833333333,49.770833333333336,49.770833333333336,8.128229166666667,7.283854166666667
2010-03-12,9.6736458333333335,260.6458333333333,46.059375,46.059375,8.141041666666666,8.472083333333334
2010-03-13,9.365208333333333,259.3229166666667,44.11063829787234,44.11063829787234,8.134479166666667,9.914479166666666
2010-03-14,9.739583333333334,254.95833333333334,44.358333333333334,44.358333333333334,8.1388541666666665,8.784375
2010-03-15,10.423958333333333,255.875,44.869791666666664,44.869791666666664,8.113645833333333,8.039895833333333
2010-03-16,10.0071875,255.71875,56.27916666666667,56.27916666666667,8.0778125,10.034375
2010-03-17,9.669895833333333,251.78125,53.42395833333333,53.42395833333333,8.066354166666667,11.3559375
2010-03-18,9.484791666666666,250.61458333333334,53.08020833333333,53.08020833333333,8.073020833333333,12.073958333333334
2010-03-19,9.349666666666666,250.5,57.63333333333333,57.63333333333333,8.084333333333333,11.320666666666666
2010-06-17,6.354193548387097,242.51605412903226,44.012903225806454,44.012903225806454,8.156129032258065,25.317096774193548
2010-06-18,6.6290625,248.44604618229167,35.14736842105263,35.14736842105263,8.2303125,23.384166666666665
2010-06-19,6.565520833333333,254.25154798645832,33.29479166666667,33.29479166666667,8.293333333333333,23.991145833333334
2010-06-20,6.658541666666666,257.68204979375,43.104395604395606,43.104395604395606,8.410833333333333,23.840833333333332
2010-06-21,6.706979166666667,261.2688016,41.303030303030305,41.303030303030305,8.4203125,24.366458333333334
2010-06-22,6.755,263.41805340625,42.9,42.9,8.413020833333333,24.5503125
2010-06-23,6.81125,263.0673052104167,43.93928571428572,43.93928571428572,8.37625,24.310520833333335
2010-06-24,6.828229166666667,270.29989035104165,168.29555555555555,168.29555555555555,8.370416666666667,23.801979166666666
2010-06-25,6.631458333333334,297.83455882395833,871.6833333333333,871.6833333333333,8.255833333333333,23.962083333333332
2010-06-26,6.699166666666667,278.9733939625,474.7479166666667,474.7479166666667,8.3078125,23.932708333333334
2010-06-27,6.976979166666666,280.94556243541666,157.80833333333334,157.80833333333334,8.342083333333333,23.223020833333333
2010-06-28,7.168854166666667,283.834397575,255.76875,255.76875,8.3596875,22.5653125
2010-06-29,6.5521875,270.587816046875,543.4385416666667,543.4385416666667,8.0865625,22.336041666666667
2010-06-30,7.136875,297.6954011875,712.4635416666666,712.4635416666666,8.099375,22.430520833333333
2010-07-01,7.0403125,299.30298632604166,360.828125,360.828125,8.147083333333333,24.263020833333332
2010-07-02,6.756875,300.504321465625,244.815625,244.815625,8.2321875,25.993645833333332
2010-07-03,6.596766342965116,302.0639084883721,318.956976744186,318.956976744186,8.213720930232558,25.8803488372093
2010-07-04,6.192305592916667,297.64657507708336,1076.059375,1076.059375,7.9109375,24.33395833333333
2010-07-05,6.7116553415833335,306.3999935510417,921.8322916666667,921.8322916666667,8.129166666666666,23.57125
2010-07-06,6.75350509028125,306.59091202291665,452.5375,452.5375,8.1971875,23.821979166666665
2010-07-07,6.7765006723125,305.9797471614583,375.6177083333333,375.6177083333333,8.215625,23.778333333333332
2010-07-08,6.8676212543125,309.89983230104167,500.5677083333333,500.5677083333333,8.251458333333334,23.39666666666667
2010-07-09,6.588221003,313.95533410729166,64.28229166666667,64.28229166666667,8.161770833333334,24.5840625
2010-07-10,6.469631294571428,315.13583591354165,461.4447916666667,461.4447916666667,8.130833333333333,25.925520833333334
2010-07-11,6.644108000375,316.805921053125,460.640625,460.640625,8.270833333333334,25.192916666666665
2010-07-12,6.6840827490625,318.13225619166667,166.875,166.875,8.310104166666667,24.902395833333333
2010-07-13,6.480828331104167,322.15650799791666,128.35520833333334,128.35520833333334,8.323125,25.7034375
2010-07-14,6.497519994397727,324.9433489306818,121.50114942528735,121.50114942528735,8.28375,25.672613636363636
2010-07-15,6.517965328458334,329.21875,124.16875,124.16875,8.195520833333333,26.386145833333334
2010-07-16,6.490127577166667,327.8958333333333,144.940625,144.940625,8.198645833333334,26.59572916666667
2010-07-17,6.454998159166666,328.9270833333333,112.6875,112.6875,8.255520833333334,26.988125
2010-07-18,6.40288957453125,328.1458333333333,100.87840909090909,100.87840909090909,8.28375,27.47
2010-07-19,6.347030989895833,328.1770833333333,97.70416666666667,97.70416666666667,8.3096875,27.687916666666666
2010-07-20,6.237526571895834,331.5104166666667,87.41875,87.41875,8.311562499999999,27.417708333333334
2010-07-21,6.330730487260417,334.6875,78.35520833333334,78.35520833333334,8.348854166666667,27.41989583333333
2010-07-22,6.041851069291667,345.6458333333333,612.284375,612.284375,8.218645833333333,26.5840625
2010-07-23,6.383700817958333,341.1041666666667,583.8354166666667,583.8354166666667,8.260625,26.166458333333335
2010-07-24,6.661904733322917,327.5208333333333,222.36354166666666,222.36354166666666,8.275,24.171354166666667
2010-07-25,6.542712815354166,323.3020833333333,768.4208333333333,768.4208333333333,8.102395833333333,23.12875
2010-07-26,6.3862292306875,343.8020833333333,982.8802083333334,982.8802083333334,7.966354166666667,22.806666666666665
2010-07-27,6.251516479375,323.7291666666667,903.1479166666667,903.1479166666667,7.94375,24.71270833333333
2010-07-28,6.5123245614166665,350.6458333333333,492.6489583333333,492.6489583333333,8.151041666666666,25.742291666666667
2010-07-29,6.505632643416667,365.28125,554.8729166666667,554.8729166666667,8.1228125,25.579791666666665
2010-07-30,6.2602462275,413.66897697325584,1064.5441860465116,1064.5441860465116,8.096976744186046,25.967441860465115
2010-07-31,5.7394791666666665,428.1323891625,980.8697916666666,980.8697916666666,8.15375,26.40125
2010-08-01,5.550208333333333,342.95874384166666,950.0354166666667,950.0354166666667,7.900520833333333,24.4428125
2010-08-02,5.7025,539.3163485218749,1102.3322916666666,1102.3322916666666,7.905833333333334,25.181666666666665
2010-08-03,6.0503125,437.99686986875,989.159375,989.159375,8.0575,25.5603125
2010-08-04,6.015208333333334,631.2711412145833,1010.4072916666667,1010.4072916666667,7.883229166666666,25.434583333333332
2010-08-05,6.088229166666666,446.83707922916665,880.8416666666667,880.8416666666667,7.713125,25.13875
2010-08-06,5.909583333333333,423.3821839072917,989.0510416666667,989.0510416666667,7.749791666666667,24.534791666666667
2010-08-07,6.1198958333333335,404.65645525416664,779.896875,779.896875,7.928541666666667,25.614895833333332
2010-08-08,6.236354166666667,392.90989326770836,403.24895833333335,403.24895833333335,8.005625,25.515625
2010-08-09,6.31,392.81958128020835,232.1,232.1,8.062395833333333,25.516041666666666
2010-08-10,6.254166666666666,395.58343596145835,162.48541666666668,162.48541666666668,8.092604166666666,26.262916666666666
2010-08-11,6.222708333333333,399.38895730729166,159.609375,159.609375,8.085522388059701,26.523958333333333
2010-08-12,6.395,429.0550256787234,132.8195652173913,132.8195652173913,NA,27.192659574468085
2010-08-13,NA,426.375,193.5228260869565,193.5228260869565,NA,26.883541666666666
2010-08-14,NA,409.6666666666667,164.59791666666666,164.59791666666666,NA,26.962291666666665
2010-08-15,NA,411.6458333333333,139.39791666666667,139.39791666666667,NA,26.937083333333334
2010-08-16,NA,383.8854166666667,334.27142857142854,323.79397590361447,NA,25.178854166666667
2010-08-17,NA,422.2395833333333,1329.621052631579,646.0600000000001,NA,25.790104166666666
2010-08-18,NA,416.71875,1305.6387096774195,988.68,NA,26.142083333333332
2010-08-19,NA,407.0208333333333,398.2136842105263,398.2136842105263,NA,26.638541666666665
2010-08-20,NA,430.2916666666667,231.42395833333333,231.42395833333333,NA,25.647083333333335
2010-08-21,NA,446.44444444444446,208.28333333333333,208.28333333333333,NA,22.407222222222224
2010-09-09,6.354498389241379,324.0689655172414,108.36206896551724,108.36206896551724,8.293793103448275,24.089655172413792
2010-09-10,6.827419154229166,325.2083333333333,110.85833333333333,110.85833333333333,8.300208333333334,22.028645833333332
2010-09-11,7.104443926208333,322.6770833333333,103.64270833333333,103.64270833333333,8.308645833333333,20.821145833333333
2010-09-12,7.046885364833333,323.84375,98.221875,98.221875,8.308229166666667,21.571770833333332
2010-09-13,7.007035136833333,323.78125,93.38645833333334,93.38645833333334,8.326458333333333,21.9203125
2010-09-14,6.8017682421145835,325.15625,102.41354166666666,102.41354166666666,8.333541666666667,23.255625
2010-09-15,6.693168014104167,329.3541666666667,99.678125,99.678125,8.320833333333333,23.670520833333335
2010-09-16,6.818213619395833,331.78125,102.84574468085107,102.84574468085107,8.320416666666667,22.864166666666666
2010-09-17,6.7727383913958334,334.3333333333333,97.85434782608695,97.85434782608695,8.333333333333334,23.221458333333334
2010-09-18,6.6980964966666665,334.7083333333333,108.35416666666667,108.35416666666667,8.312604166666667,23.6709375
2010-09-19,6.662204602,329.9895833333333,129.83414634146342,129.83414634146342,8.299895833333332,23.6190625
2010-09-20,6.657250207291667,332.6666666666667,103.85164835164835,103.85164835164835,8.329270833333332,23.442291666666666
2010-09-21,6.5725041459375,333.0520833333333,93.796875,93.796875,8.301354166666666,23.6171875
2010-09-22,6.638799751239583,322.78125,194.3375,194.3375,8.277395833333333,21.307708333333334
2010-09-23,5.6729078565625,217.0625,868.810989010989,868.810989010989,8.046145833333334,20.75958333333333
2010-09-24,6.796703461854166,410.3854166666667,1129.957479344086,1129.957479344086,8.0375,19.9871875
2010-09-25,6.9025824005,283.4895833333333,982.018589,982.018589,8.110208333333333,20.712291666666665
2010-09-26,6.791378005802083,274.6979166666667,420.93970588235294,420.93970588235294,8.143125,21.205729166666668
2010-09-27,6.625381944447916,289.4791666666667,206.20106382978724,206.20106382978724,8.1534375,22.165
2010-09-28,6.6668166401875,309.27642738470587,122.77411764705883,122.77411764705883,8.303529411764705,21.49729411764706
2010-09-29,6.563541666666667,313.79158210416665,98.81770833333333,98.81770833333333,8.342395833333333,21.8059375
2010-09-30,6.73375,312.54423157083335,102.91041666666666,102.91041666666666,8.3459375,21.336875
2010-10-01,6.745,309.1406310375,100.14166666666667,100.14166666666667,8.383958333333334,21.789375
2010-10-02,6.925,306.3411971708333,101.12916666666666,101.12916666666666,8.421770833333333,21.216875
2010-10-03,6.809270833333334,285.9271799708333,638.5483428052083,638.5483428052083,8.2361458333333335,18.0146875
2010-10-04,7.0409375,311.23191277083333,998.19592803125,998.19592803125,8.219479166666666,18.417395833333334
2010-10-05,7.298958333333333,351.9845622375,510.1229166666667,510.1229166666667,8.421041666666667,18.792916666666667
2010-10-06,7.340520833333334,362.4767950375,262.5382978723404,262.5382978723404,8.480625,19.171458333333334
2010-10-07,7.4128125,361.1044445,196.78854166666667,196.78854166666667,8.4984375,19.001041666666666
2010-10-08,7.537604166666666,360.461260625,170.94270833333334,170.94270833333334,8.519479166666667,18.49375
2010-10-09,7.926145833333333,359.74516009166666,208.79583333333332,208.79583333333332,8.526770833333332,16.85875
2010-10-10,7.973333333333334,357.820726225,269.43541666666664,269.43541666666664,8.5340625,16.513333333333332
2010-10-11,8.026354166666666,363.2608756916667,194.93854166666668,194.93854166666668,8.544895833333333,16.420833333333334
2010-10-12,8.0451041666666665,378.6697751583333,136.715625,136.715625,8.56625,16.675416666666667
2010-10-13,8.1465625,399.77659129166665,103.215625,103.215625,8.590104166666666,16.618645833333332
2010-10-14,7.978958333333333,435.48757409166666,97.14315789473685,97.14315789473685,8.574895833333333,17.452083333333334
2010-10-15,8.0365625,457.79230689166667,127.70520833333333,127.70520833333333,8.5853125,17.072604166666668
2010-10-16,8.205520833333333,460.61787301979166,105.80208333333333,105.80208333333333,8.609270833333333,16.531875
2010-10-17,8.235729166666667,456.8288558125,90.91875,90.91875,8.6232291666666665,16.558229166666667
2010-10-18,8.21625,452.26900527916666,115.51979166666666,115.51979166666666,8.6196875,16.5528125
2010-10-19,8.168645833333333,443.6674880791667,112.86458333333333,112.86458333333333,8.629895833333332,16.9184375
2010-10-20,8.413124999999999,431.8159708791667,91.971875,91.971875,8.641979166666667,15.937708333333333
