site_code,timestamp_local,nh4_uM,no3_uM,po4_uM,tdn_uM,tdp_uM,tpc_uM,tpn_uM,tpp_uM,tss_mgperLiter,spec_cond_uSpercm
JV00,2001-01-08T00:00:00,0,11.9,3.6,182.4,2.4,-999,-999,-999,-999,9914
SM00,2001-01-08T00:00:00,0.2,661,34.1,661.2,0.4,-999,-999,-999,-999,756
CP01,2001-01-08T00:00:00,17,898.1,10.6,1026.8,33.2,-999,-999,-999,-999,938
FK00,2001-01-08T00:00:00,13.4,4111.1,0,4129,71.1,-999,-999,-999,-999,1447
SY02,2001-01-08T00:00:00,0.3,124,6.2,267.1,13,-999,-999,-999,-999,-999
VR01,2001-01-08T00:00:00,0,102,5.3,191,6.7,-999,-999,-999,-999,-999
AT03,2001-01-08T00:00:00,13.3,225.9,21.6,388.7,24.6,-999,-999,-999,-999,-999
AT03,2001-01-08T00:00:00,0,96.5,12.9,204.1,18.1,-999,-999,-999,-999,-999
SM00,2001-01-10T00:00:00,6.9,615.7,39.9,744.8,41.3,-999,-999,-999,-999,-999
CP01,2001-01-10T00:00:00,60,537.7,36.2,661.3,33.5,-999,-999,-999,-999,-999
SY02,2001-01-10T00:00:00,6,47,18.6,90.5,18.9,-999,-999,-999,-999,-999
FK00,2001-01-10T00:00:00,40.4,344.9,35.3,428.2,31.1,-999,-999,-999,-999,-999
AT03,2001-01-10T00:00:00,10.3,52.1,12.1,97.9,12.5,-999,-999,-999,-999,-999
ME00,2001-01-10T00:00:00,6.5,55.2,9.5,86.7,9.9,-999,-999,-999,-999,-999
MC07,2001-01-11T00:00:00,0.8,56.1,2,68.8,1.6,-999,-999,-999,-999,249
AT03,2001-01-11T00:00:00,4.8,179.8,19.5,278,19.9,-999,-999,-999,-999,710
SR04,2001-01-11T00:00:00,0.2,87.6,5.6,141.9,4.9,-999,-999,-999,-999,581
MY12,2001-01-11T00:00:00,1.6,65.8,3.8,118.9,3.6,-999,-999,-999,-999,390
MY02,2001-01-11T00:00:00,2.4,103.2,22.7,170.9,7.7,-999,-999,-999,-999,384
ON00,2001-01-11T00:00:00,0.6,43.6,0.7,65.7,-1.7,-999,-999,-999,-999,-999
EL00,2001-01-11T00:00:00,0.4,40.4,0.5,61.6,0.6,-999,-999,-999,-999,-999
GV00,2001-01-11T00:00:00,1.8,40.7,1.9,67,2.9,-999,-999,-999,-999,-999
CP01,2001-01-12T00:00:00,0,186.8,12.3,229.6,12.3,-999,-999,-999,-999,-999
SM00,2001-01-12T00:00:00,0.1,93.8,5.9,130.8,4.6,-999,-999,-999,-999,-999
ME00,2001-01-12T00:00:00,0,102,9.7,148.5,10.1,-999,-999,-999,-999,-999
FK00,2001-01-12T00:00:00,8.3,471.6,17.3,574.9,18.4,-999,-999,-999,-999,-999
LS00,2001-01-13T00:00:00,60.9,107.8,4.8,198.6,2.4,-999,-999,-999,-999,1966
CP01,2001-01-13T00:00:00,0.1,113.4,2,126.2,1.4,-999,-999,-999,-999,690
RN01,2001-01-13T00:00:00,3.6,148.1,2.3,170.5,1.8,-999,-999,-999,-999,1242
JV00,2001-01-13T00:00:00,36.5,148.2,4,345.8,3.5,-999,-999,-999,-999,-999
VR01,2001-01-13T00:00:00,4.7,128.9,3.9,141.3,3,-999,-999,-999,-999,1159
MC07,2001-01-24T02:19:00,0,26.8,3.5,50.5,5.5,-999,-999,-999,-999,559
MC07,2001-01-24T10:30:00,0.2,17,2.4,36.9,1.6,-999,-999,-999,-999,739
MC07,2001-01-24T06:12:00,0,21.8,3,51.1,3.2,-999,-999,-999,-999,591
SR04,2001-01-24T02:35:00,0,17.9,1.8,36.7,1.5,-999,-999,-999,-999,965
SR04,2001-01-24T06:29:00,0,69.7,3.2,103.7,4.2,-999,-999,-999,-999,802
SR04,2001-01-24T10:45:00,0,35.6,2,57.4,1.7,-999,-999,-999,-999,894
AT03,2001-01-26T07:40:00,10.3,78.6,7.7,135.8,9.7,-999,-999,-999,-999,516
CP01,2001-01-27T00:00:00,0.8,102.3,1.8,108,1.2,-999,-999,-999,-999,-999
ME00,2001-01-27T00:00:00,0,4.1,2,17,1.7,-999,-999,-999,-999,-999
FK00,2001-01-27T00:00:00,3,2132.1,31.6,2473.9,29,-999,-999,-999,-999,-999
SM00,2001-01-27T00:00:00,0,198.1,14.5,232,15,-999,-999,-999,-999,-999
EL00,2001-01-30T00:00:00,0.5,0.4,0.3,3.2,2.1,-999,-999,-999,-999,-999
GV00,2001-01-30T00:00:00,0.1,3.1,0.7,15.6,2.5,-999,-999,-999,-999,-999
ON00,2001-01-30T00:00:00,0,0.3,0.3,3.8,2.3,-999,-999,-999,-999,-999
LS00,2001-02-04T11:20:00,44.4,130.1,3.3,224.8,3.6,-999,-999,-999,-999,-999
ME00,2001-02-04T12:30:00,0,0.7,1.4,6.5,2.4,-999,-999,-999,-999,-999
SY01,2001-02-04T12:50:00,0.1,64.9,2.9,92.1,3.5,-999,-999,-999,-999,-999
RN01,2001-02-04T12:40:00,10.6,168.1,1.5,207.3,2.4,-999,-999,-999,-999,-999
JV00,2001-02-04T11:00:00,42,60.9,2.9,259.7,2.7,-999,-999,-999,-999,-999
AT03,2001-02-04T14:20:00,0,94.1,9.4,134.1,8.1,-999,-999,-999,-999,2114
VR01,2001-02-04T10:30:00,2.5,131.5,1.3,168.4,2.3,-999,-999,-999,-999,1490
ON00,2001-02-09T15:15:00,0,0.5,3.3,2.4,4,-999,-999,-999,-999,1072
HO01,2001-02-09T13:30:00,0.1,0.5,3.3,3.8,2,-999,-999,-999,-999,907
HO01,2001-02-09T18:00:00,0,0.5,3.3,7.3,2.2,-999,-999,-999,-999,-999
GV00,2001-02-09T14:10:00,0.1,0,3.9,10.4,2.1,-999,-999,-999,-999,1609
GV00,2001-02-09T18:30:00,0,0.2,4,11.7,2.4,-999,-999,-999,-999,-999
EL00,2001-02-09T12:40:00,0.3,0.1,3.1,4.7,2.2,-999,-999,-999,-999,924
EL00,2001-02-09T16:00:00,0,0.3,3,5.3,2.1,-999,-999,-999,-999,-999
SM01,2001-02-10T11:50:00,0.3,561.8,28.1,554.7,6.7,-999,-999,-999,64.2,-999
SM01,2001-02-10T00:48:00,0,930.2,39.9,752.2,7.7,-999,-999,-999,-999,-999
SM01,2001-02-10T02:35:00,1.6,1177.2,50.3,1392.8,9.1,-999,-999,-999,-999,-999
SM01,2001-02-10T05:45:00,0.2,225.7,14.3,294.7,15,-999,-999,-999,-999,-999
SM01,2001-02-10T09:15:00,4.7,17.6,13.5,194.6,9.4,-999,-999,-999,-999,-999
SM01,2001-02-09T20:25:00,0.1,1266.2,20.5,1503.3,9.2,-999,-999,-999,-999,-999
SM01,2001-02-09T22:30:00,0.4,1120.2,58.8,1255,6.7,-999,-999,-999,-999,-999
CP01,2001-02-10T00:20:00,11.5,351.2,18.9,462.7,20.3,-999,-999,-999,192.2,348
CP01,2001-02-10T02:10:00,19,383.2,25.4,444,18.5,-999,-999,-999,-999,315
CP01,2001-02-10T05:15:00,0.8,152.5,10.8,219.3,12.5,-999,-999,-999,-999,382
CP01,2001-02-10T08:50:00,0.3,123.8,3.7,145.9,4.1,-999,-999,-999,-999,-999
CP01,2001-02-10T11:30:00,2.9,287.8,10.3,337,9.7,-999,-999,-999,-999,-999
CP01,2001-02-09T20:00:00,0,714.2,2.8,786.9,1.4,-999,-999,-999,-999,-999
CP01,2001-02-09T22:00:00,0.3,569.2,2.5,599,4,-999,-999,-999,-999,-999
FK00,2001-02-10T11:40:00,21.1,1013.2,62.6,1039.6,44.5,-999,-999,-999,730.8,-999
FK00,2001-02-10T00:35:00,18.6,345.2,38.2,451.3,32.2,-999,-999,-999,1185,-999
FK00,2001-02-10T02:20:00,28.7,638.2,50.1,800.7,47.5,-999,-999,-999,2095.2,-999
FK00,2001-02-10T05:30:00,38.7,1251.1,31.4,1323.3,23.2,-999,-999,-999,-999,-999
FK00,2001-02-10T09:05:00,16.3,1687.2,28.9,1735.2,25.9,-999,-999,-999,-999,-999
FK00,2001-02-09T20:10:00,20.8,1282.2,100.8,1571.2,103.9,-999,-999,-999,-999,-999
FK00,2001-02-09T22:15:00,11.2,789.2,60.6,799.9,47.8,-999,-999,-999,-999,-999
FK00,2001-02-09T08:20:00,3.8,2998.2,61.4,3172.3,46.8,-999,-999,-999,-999,-999
SM01,2001-02-09T08:40:00,1.7,863.2,67.6,1004.4,12.2,-999,-999,-999,-999,-999
CP01,2001-02-09T07:55:00,0.9,633.7,3.2,614,1.6,-999,-999,-999,-999,-999
FK00,2001-02-03T14:25:00,14.6,2402.2,26.7,2429.4,26.9,-999,-999,-999,-999,-999
SM01,2001-02-03T14:48:00,0.1,796.2,29.2,799.3,7.8,-999,-999,-999,-999,-999
CP01,2001-02-03T13:35:00,0.8,755.2,3,714.7,1.5,-999,-999,-999,-999,-999
GV00,2001-02-11T11:40:00,0.2,1.5,4.8,16.3,2.5,116.6,15.4,15.1,-999,1479
EL00,2001-02-11T19:00:00,0,0,2.9,3.6,3,-999,-999,-999,-999,505
HO01,2001-02-11T11:20:00,0.2,0,3,0.6,2.5,-999,-999,-999,-999,-999
HO01,2001-02-11T13:40:00,0.1,0.5,4.6,5.1,2.8,101.1,11.8,5.9,-999,706
ON00,2001-02-11T12:10:00,0.2,0.7,3.2,4.9,4.4,-999,-999,-999,-999,-999
ON00,2001-02-11T15:10:00,0.6,5.1,3.3,15.5,2.8,158,11.9,3.1,-999,677
ON00,2001-02-11T18:20:00,0,0.4,3.2,5.6,2.4,-999,-999,-999,-999,-999
GV00,2001-02-11T12:45:00,0.1,2.2,4.2,16.5,2.5,168,17.8,10.8,-999,1423
GV00,2001-02-11T14:20:00,0,7.5,3.6,37.7,4.7,2457.4,287.5,191.1,-999,1166
GV00,2001-02-11T14:50:00,0.8,10.2,4.7,57.9,5.7,2303.8,259.4,117.4,-999,707
