day,DO.obs,SpCond,turbidity,pH,tempwater,Q.cfs
2012-06-28,7.2625,278.20454545454544,30.24772727272727,8.362727272727273,22.17409090909091,1231.8181818181818
2012-06-29,7.3803125,275.8645833333333,32.302083333333336,8.413333333333334,20.186770833333334,1317.7083333333333
2012-06-30,7.3425,275.5104166666667,30.56875,8.432604166666668,20.384687500000002,1359.5833333333333
2012-07-01,7.235520833333333,273.4791666666667,36.72291666666667,8.408333333333333,21.071145833333333,1478.6458333333333
2012-07-02,7.286770833333334,272.0625,36.99270833333333,8.376145833333334,20.81,1491.7708333333333
2012-07-03,7.229895833333333,272.3333333333333,177.2875,8.3371875,20.811770833333334,1471.4583333333333
2012-07-04,7.2253125,272.8125,37.95625,8.398020833333334,21.52541666666667,1380.7291666666667
2012-07-05,7.304270833333334,274.0520833333333,35.822916666666664,8.424479166666666,20.925833333333333,1470.625
2012-07-06,4.8515625,304.8229166666667,692.3510416666667,8.002604166666666,19.817604166666666,1203
2012-07-07,6.538020833333333,303.6458333333333,603.578125,8.093645833333333,20.5215625,823.5208333333334
2012-07-08,6.945208333333333,298.3854166666667,148.86145833333333,8.230208333333334,22.061041666666668,820.65625
2012-07-09,6.898541666666667,299.3958333333333,130.70833333333334,8.276875,22.27375,836.1145833333334
2012-07-10,6.5996875,293.3333333333333,589.4322916666666,8.1640625,22.1090625,963.6041666666666
2012-07-11,6.751354166666666,293.75,252.8875,8.214270833333334,22.980833333333333,1021.9270833333334
2012-07-12,3.9830208333333332,304.40625,876.0655913978495,7.731041666666667,22.108645833333334,966.3866666666667
2012-07-13,6.510416666666667,292.3020833333333,345.45729166666666,8.040625,23.02520833333333,745.90625
2012-07-14,6.774895833333334,298.03125,132.66458333333333,8.1909375,23.225729166666667,707.03125
2012-07-15,6.844791666666667,300.03125,109.271875,8.250520833333333,22.796354166666667,758.8333333333334
2012-07-16,6.780520833333333,294.75,204.35729166666667,8.2134375,22.2684375,726.65625
2012-07-17,6.1030018939375,290.5208333333333,517.938050725,8.020416666666668,21.715625,884.3541666666666
2012-07-18,6.493088842977273,280.0444444444444,139.33444444444444,8.045326086956521,22.135,904.8
2012-07-19,6.352708333333333,275.84375,201.3125,7.930416666666667,22.31375,1067.6041666666667
2012-07-20,6.554895833333333,272.6458333333333,135.73541666666668,7.969375,22.364375,1051.875
2012-07-21,6.4504166666666665,270.03125,136.590625,7.9603125,22.620729166666667,1142.6041666666667
2012-07-22,6.014166666666667,271.65625,460.1791666666667,7.855520833333333,21.773854166666666,1267.2916666666667
2012-07-23,6.5472222222222225,274.51190476190476,341.45416666666665,7.908311688311688,21.46541176470588,1198.1818181818182
2012-07-24,NA,NA,12.216666666666667,NA,NA,NA
2012-07-25,NA,NA,NA,NA,NA,NA
2012-07-26,NA,NA,NA,NA,NA,NA
2012-07-27,NA,NA,NA,NA,NA,NA
2012-07-28,NA,NA,NA,NA,NA,NA
2012-07-29,NA,NA,NA,NA,NA,NA
2012-07-30,NA,NA,NA,NA,NA,NA
2012-07-31,NA,NA,NA,NA,NA,NA
2012-08-01,6.423090909090909,287.1272727272727,133.67708333333334,7.792068965517242,23.746909090909092,1061.0416666666667
2012-08-02,6.449375,283.625,120.93541666666667,7.836666666666667,22.611875,1076.6666666666667
2012-08-03,6.473125,283.4479166666667,220.71770833333332,7.8542708333333335,22.213125,1027.7604166666667
2012-08-04,6.203229166666667,289.53125,548.146875,7.784375,21.9359375,974.0625
2012-08-05,6.5871875,291.53125,353.9291666666667,7.871145833333333,21.736770833333335,923.5520833333334
2012-08-06,6.251666666666667,293.3229166666667,522.9833333333333,7.8165625,22.151145833333334,1020.7708333333334
2012-08-07,6.291145833333333,300.90625,789.7208333333333,7.838,22.920833333333334,932.6105263157895
2012-08-08,5.462432432432433,296.16,783.6791666666667,NA,21.126129032258063,NA
2012-08-09,NA,NA,3.9705882352941178,NA,NA,NA
2012-08-10,NA,NA,NA,NA,NA,NA
2012-08-11,NA,NA,NA,NA,NA,NA
2012-08-12,NA,NA,NA,NA,NA,NA
2012-08-13,NA,NA,104.3,NA,NA,NA
2012-08-14,NA,NA,NA,NA,NA,NA
2012-08-15,NA,NA,NA,NA,NA,NA
2012-08-16,NA,NA,NA,NA,NA,NA
2012-08-17,NA,NA,NA,NA,NA,NA
2012-08-18,NA,NA,NA,NA,NA,NA
2012-08-19,NA,NA,NA,NA,NA,NA
2012-08-20,NA,NA,NA,NA,NA,NA
2012-08-21,NA,NA,NA,NA,NA,NA
2012-08-22,NA,291.10869565217394,196.06739130434784,8.032,22.788260869565217,781.0222222222222
2012-08-23,NA,284.5432098765432,405.4423076923077,8.04,21.418333333333333,1079.125
2012-08-24,NA,NA,NA,NA,21.480520833333333,NA
2012-08-25,NA,NA,NA,NA,21.9440625,NA
2012-08-26,6.47,316.3678307631579,169.27317073170732,8.084634146341463,22.890833333333333,530.2105263157895
2012-08-27,6.518541666666667,308.6329586770833,170.20416666666665,8.070416666666667,23.311770833333334,613.7291666666666
2012-08-28,6.594166666666666,300.1503473958333,287.04137931034484,8.078333333333333,23.125729166666666,578.6379310344828
2012-08-29,6.42,294.46325,NA,7.882708333333333,22.880104166666666,NA
2012-08-30,NA,NA,NA,7.857621065375,22.219791666666666,NA
2012-08-31,NA,NA,NA,8.038329550041666,22.078229166666667,NA
2012-09-01,NA,NA,8.6,8.034632011697918,22.326041666666665,NA
2012-09-02,NA,NA,NA,7.974059473375,22.716770833333335,NA
2012-09-03,NA,NA,NA,7.977341101708333,22.6303125,NA
