day,DO.obs,SpCond,turbidity,turbidity.capped,pH,tempwater,Q.cfs
2017-12-25,11.150667007083333,285.67522752708334,100.67784948343679,100.67784948343679,8.200625,4.964666666666667,NA
2017-12-26,11.122125303225806,284.44493760752687,41.83615650686813,41.83615650686813,8.216989247311828,4.86631182795699,NA
2017-12-27,11.0550651234375,284.2447916666667,18.435333333333332,18.435333333333332,8.270520833333334,4.896833333333333,NA
2017-12-28,11.183389938958333,285.50416666666666,15.685913978494623,15.685913978494623,8.256666666666666,4.527635416666667,NA
2017-12-29,11.274006421145833,287.27916666666664,15.572916666666666,15.572916666666666,8.264166666666666,4.298510416666667,NA
2017-12-30,11.2862895696875,290.225,15.32741935483871,15.32741935483871,8.238125,4.250322916666667,NA
2017-12-31,11.226281051666668,291.38125,15.1065625,15.1065625,8.2628125,4.51709375,NA
2018-01-01,11.6747100340625,290.0541666666667,13.197083333333333,13.197083333333333,8.215520833333333,3.0843125000000002,NA
2018-01-02,11.505847349270834,294.06041666666664,13.912234042553191,13.912234042553191,8.244270833333333,3.8291875,NA
2018-01-03,11.580317998020833,289.87708333333336,14.759662921348315,14.759662921348315,8.248125,3.7328854166666665,NA
2018-01-04,11.587913646666667,289.109375,14.198064516129032,14.198064516129032,8.2484375,3.7791041666666665,NA
2018-01-05,11.719259295625,286.896875,11.769574468085107,11.769574468085107,8.253541666666667,3.5017395833333333,NA
2018-01-06,11.6538341109375,264.91041666666666,13.853181818181818,13.853181818181818,8.2673958333333335,3.9423541666666666,NA
2018-01-07,11.120492259479166,229.2058690375,23.185842696629212,23.185842696629212,8.321145833333333,5.7913958333333335,NA
2018-01-08,11.328400408333334,210.05678112604167,14.16,14.16,8.315208333333333,5.0620625,NA
2018-01-09,11.341621057291666,227.06140277604166,NA,NA,8.287083333333333,5.0558854166666665,NA
2018-01-10,11.173175039166667,241.03750261666667,NA,NA,8.2734375,5.1009375,NA
2018-01-11,11.333062354479166,258.1559742625,16.320760869565216,16.320760869565216,8.258333333333333,5.016979166666666,NA
2018-01-12,11.55357467,271.89187800729167,6.36,6.36,8.2815625,4.579020833333334,NA
2018-01-13,11.604191152083333,288.28902414375,15.334947368421053,15.334947368421053,8.305416666666666,4.6661875,NA
2018-01-14,11.609807634166666,289.7203896270833,11.631595744680851,11.631595744680851,8.313645833333334,4.754395833333334,NA
2018-01-15,11.628028282708334,295.66832642083335,10.867659574468085,10.867659574468085,8.340729166666666,4.522770833333333,NA
2018-01-16,11.918748931666666,300.4162281375,10.525747126436782,10.525747126436782,8.2959375,3.65178125,NA
2018-01-17,12.13780291375,294.92457174479165,9.345684210526315,9.345684210526315,8.234479166666667,3.0474791666666667,NA
2018-01-18,12.121856895729167,284.03820919270834,9.816881720430107,9.816881720430107,8.248854166666666,3.2427395833333335,NA
2018-01-19,11.987693315957447,273.32041107021274,8.221,8.221,8.141063829787234,2.811382978723404,NA
2018-01-20,NA,NA,NA,NA,NA,NA,NA
2018-01-21,NA,NA,NA,NA,NA,NA,NA
2018-01-22,NA,NA,NA,NA,NA,NA,NA
2018-01-23,NA,NA,NA,NA,NA,NA,NA
